Dealer Name,Dealer ID,Invoice Date,Region,Governorate,City,Part Description,Unit Price,Quantity Sold,Total Sales,Operating Profit,Operating Margin
Auto Spare Parts Dealer 25 - Cairo,10024,2024-07-03,Greater Cairo,Cairo,Nasr City,ACDelco Windshield Wiper for Chevrolet Half-Truck,222.95,46,10255.7,2197.8,21.43
Auto Spare Parts Dealer 36 - Port Said,10035,2024-03-08,Greater Cairo,Cairo,Nasr City,Bosch Regular Bulb for Kia,124.35,46,5720.1,1265.86,22.13
Auto Spare Parts Dealer 30 - Dakahlia,10029,2024-01-06,Greater Cairo,Giza,Faisal,Philips Regular Bulb for Toyota 1987-2015,132.84,124,16472.16,5022.36,30.49
Auto Spare Parts Dealer 29 - Qalyubia,10028,2022-07-19,Upper Egypt,Minya,Maghaghah,Bosch Battery for Toyota 1987-2015,2380.7,10,23807.0,8487.2,35.65
Auto Spare Parts Dealer 32 - Monufia,10031,2022-06-19,Greater Cairo,Giza,Haram,Magneti Marelli Regular Bulb for Toyota 1987-2015,76.69,15,1150.35,435.41,37.85
Auto Spare Parts Dealer 24 - Assiut,10023,2023-07-26,Canal Zone,Port Said,Arab,DEPO Engine Oil for Toyota 1987-2015,1611.3,15,24169.5,6883.47,28.48
Auto Spare Parts Dealer 30 - Dakahlia,10029,2024-12-13,Greater Cairo,Cairo,Maadi,Valeo Air Filter for Kia,297.4,23,6840.2,1608.13,23.51
Auto Spare Parts Dealer 37 - Beheira,10036,2024-01-23,Canal Zone,Ismailia,Sheikh Zayed,Magneti Marelli Brake Pads for Hyundai,485.14,18,8732.52,2965.56,33.96
Auto Spare Parts Dealer 30 - Dakahlia,10029,2024-06-27,Upper Egypt,Minya,Deir Mawas,Bosch Battery for Kia,2000.43,8,16003.44,5772.44,36.07
Auto Spare Parts Dealer 21 - Minya,10020,2023-09-08,Upper Egypt,Aswan,Edfu,Champion Engine Oil for Hyundai,1128.33,19,21438.27,8341.63,38.91
Auto Spare Parts Dealer 47 - Alexandria,10046,2023-12-17,Alexandria,Alexandria,Smouha,Valeo HID Bulb for Nissan 1987-2015,890.95,28,24946.6,7511.42,30.11
Auto Spare Parts Dealer 45 - Ismailia,10044,2024-04-15,Upper Egypt,Sohag,Sohag First,Champion Windshield Wiper for Kia,255.22,39,9953.58,2382.89,23.94
Auto Spare Parts Dealer 9 - Dakahlia,10008,2024-09-30,Canal Zone,Ismailia,Arbaeen,Valeo Air Filter for Chevrolet Half-Truck,238.85,25,5971.25,1649.86,27.63
Auto Spare Parts Dealer 30 - Dakahlia,10029,2022-04-22,Greater Cairo,Cairo,Gesr El Suez,DEPO Regular Bulb for Toyota 1987-2015,103.86,96,9970.56,3427.88,34.38
Auto Spare Parts Dealer 27 - Minya,10026,2023-03-13,Canal Zone,Ismailia,Sheikh Zayed,Magneti Marelli Engine Oil for Nissan 1987-2015,1685.23,18,30334.14,7786.77,25.67
Auto Spare Parts Dealer 24 - Assiut,10023,2023-02-27,Upper Egypt,Luxor,Armant,NGK Brake Pads for Kia,523.83,18,9428.94,3640.51,38.61
Auto Spare Parts Dealer 16 - Assiut,10015,2023-12-17,Canal Zone,Port Said,Arab,Denso Engine Oil for Kia,1816.06,13,23608.78,8319.73,35.24
Auto Spare Parts Dealer 24 - Assiut,10023,2023-10-04,Delta,Sharqia,Faqus,ACDelco Battery for Kia,2922.37,7,20456.59,7237.54,35.38
Auto Spare Parts Dealer 18 - Cairo,10017,2024-01-31,Greater Cairo,Giza,Imbaba,CASP Engine Oil for Toyota 1987-2015,1449.39,12,17392.68,4996.92,28.73
Auto Spare Parts Dealer 6 - Minya,10005,2024-07-30,Greater Cairo,Qalyubia,Banha,Mobil Windshield Wiper for Toyota 1987-2015,125.83,43,5410.69,1151.94,21.29
Auto Spare Parts Dealer 31 - Sohag,10030,2024-09-03,Upper Egypt,Aswan,Aswan First,DEPO Engine Oil for Toyota 1987-2015,1085.01,8,8680.08,2142.24,24.68
Auto Spare Parts Dealer 36 - Port Said,10035,2023-07-30,Greater Cairo,Qalyubia,Shibin El Qanater,Champion Rear Taillight for Nissan 1987-2015,763.67,31,23673.77,8311.86,35.11
Auto Spare Parts Dealer 9 - Dakahlia,10008,2024-11-21,Delta,Dakahlia,Dikirnis,Magneti Marelli Battery for Hyundai,1169.37,8,9354.96,2340.61,25.02
Auto Spare Parts Dealer 12 - Dakahlia,10011,2023-08-09,Delta,Monufia,Shebin El Kom,Mobil Regular Bulb for Chevrolet Half-Truck,95.15,88,8373.2,3158.37,37.72
Auto Spare Parts Dealer 10 - Sharqia,10009,2024-05-05,Alexandria,Alexandria,Roushdy,NGK Rear Taillight for Chevrolet Half-Truck,427.26,18,7690.68,2451.79,31.88
Auto Spare Parts Dealer 41 - Beheira,10040,2023-10-12,Delta,Monufia,Quesna,Denso Alarm System for Nissan 1987-2015,2378.79,7,16651.53,4697.4,28.21
Auto Spare Parts Dealer 35 - Assiut,10034,2023-07-10,Canal Zone,Ismailia,First District,Denso Brake Pads for Kia,420.29,14,5884.06,1730.5,29.41
